Curvature_Deficit,k2_m0,k2_m1,k2_m2,k2_m3,k2_m4,k2_m5
0.0,5.783185962946738,14.681970642121767,26.374616427161722,40.70646581819721,206.5698103769924,493.6306322436379
0.01224489795918371,5.783185962946738,14.81023366762857,26.6985204317499,41.289016675199285,436.6633548591548,497.4341192133057
0.024489795918367308,5.783185962946738,14.942160215012237,27.032235224214258,41.889838024728256,439.64566046193255,501.3442621324249
0.03673469387755102,5.783185962946738,15.077906713958326,27.376197899799102,42.50976316284111,442.71138226538045,505.36555194571446
0.048979591836734726,5.783185962946738,15.217638504680972,27.730871272624146,43.14967526189967,445.86403491209944,509.5027326046975
0.061224489795918324,5.783185962946738,15.361530474473113,28.096745760864483,43.81051107501284,449.1073316469743,513.7608189797561
0.07346938775510203,5.783185962946738,15.509767749090027,28.47434143792346,44.49326496997815,452.4451984456398,518.1451163043264
0.08571428571428574,5.783185962946738,15.662546444544498,28.864210266616727,45.198993326982766,455.8817893591064,522.661241305285
0.09795918367346934,5.783185962946738,15.820074485511222,29.26693853550701,45.92881933840049,459.42150319753097,527.3151451915321
0.11020408163265305,5.783185962946738,15.982572497274543,29.683149518841393,46.683938253670945,463.0690016910339,532.1131386929871
0.12244897959183676,5.783185962946738,16.15027477898579,30.11350638400265,47.46562311741622,466.829229281484,537.0619193651066
0.13469387755102047,5.783185962946738,16.323430366941626,30.558715373683206,48.27523105528429,470.7074347174202,93.688340654634
0.14693877551020407,5.783185962946738,16.502304197670828,31.01952929292306,49.114210168272706,474.70919464638087,283.05368601550566
0.15918367346938778,5.783185962946738,16.687178381843125,31.49675133542551,49.984107104703455,478.84043942150674,97.5020712615332
0.17142857142857149,5.783185962946738,16.878353601423882,31.991239287752002,50.88657538777402,483.10748136781217,99.52044922202997
0.18367346938775508,5.783185962946738,17.07615064406041,32.503910155162515,51.82338458664844,487.51704578423835,101.61869347118885
0.1959183673469388,5.783185962946738,17.280912090642598,33.0357452585994,52.796430431306,492.0763049936933,103.80132334850188
0.2081632653061225,5.783185962946738,17.49300417389722,33.58779585925816,53.807745984702144,496.7929157941273,106.0731913511257
0.2204081632653061,5.783185962946738,17.71281882852372,34.16118937451463,54.859514001628966,501.6750607118062,108.43951351244853
0.2326530612244898,5.783185962946738,17.940775956045353,34.757136258362536,55.95408062185226,506.7314935111562,110.90590309455551
0.24489795918367352,5.783185962946738,18.1773259308651,35.37693762960332,205.52871886741707,511.9715894801724,113.47840801714199
0.2571428571428571,5.783185962946738,18.422952377716744,36.02199374304739,436.01161004667233,517.4054010820079,116.16355250726878
0.2693877551020408,5.783185962946738,18.678175255251826,36.69381341329743,439.98211426535573,523.0437196488587,118.96838352651393
0.28163265306122454,5.783185962946738,18.943554285303946,37.39402451656098,444.10161303837026,528.898143892366,121.90052261639859
0.29387755102040813,5.783185962946738,19.219692773662146,38.1243857154916,448.37856800167,534.9811561197793,124.9682239018856
0.30612244897959184,5.783185962946738,19.507241874916378,38.88679957424435,452.822088339246,93.38321763066382,128.1804391087183
0.31836734693877555,5.783185962946738,19.806905362235877,39.683327257310374,457.4419934741097,95.71844796895002,131.5468905873971
0.33061224489795915,5.783185962946738,20.119444972549086,40.516205037048934,462.2488831391781,98.16625599049264,135.07815349808334
0.34285714285714286,5.783185962946738,20.445686408977775,41.38786287120262,467.25421585591556,100.73443644627864,363.30684721780295
0.35510204081632657,5.783185962946738,20.786526095823834,42.30094535572143,472.47039701513074,103.43148998652836,142.68224653522623
0.36734693877551017,5.783185962946738,21.14293879749904,43.25833541008829,477.9108779509617,106.26670254291678,146.7813875027711
0.3795918367346939,5.783185962946738,21.515986231676287,44.2631811140818,483.59026763313983,109.25023543256998,385.30078565883167
0.3918367346938776,5.783185962946738,21.906826829949058,45.31892618959639,489.524458881618,112.39322788355821,393.3522964884304
0.4040816326530612,5.783185962946738,22.316726826477495,46.42934471015707,495.73077134159615,115.70791399179825,401.80750584327626
0.4163265306122449,5.783185962946738,22.747072888028235,47.59858072858421,502.22811385746235,119.20775649490218,410.69636342181303
0.4285714285714286,5.783185962946738,23.199386538733176,48.8311936436244,509.03716936771093,122.90760020362507,420.0517743906139
0.4408163265306122,5.783185962946738,23.675340680904203,50.13221028499034,516.1806060270444,126.82384848573297,429.9099656029442
0.4530612244897959,5.783185962946738,24.176778572242213,51.50718488972809,523.6833189712031,130.97466687464345,440.31090677383133
0.4653061224489796,5.783185962946738,24.705735691503847,52.96226837976888,531.572708006568,135.38021870640702,451.2987963538382
0.4775510204081632,5.783185962946738,25.264465013019507,54.5042886428114,92.87883410559114,140.06293871439658,462.9226238479673
0.4897959183673469,5.783185962946738,25.855466319466917,56.14084387944271,95.98473041300052,145.04785178068332,475.2368228010625
0.5020408163265306,5.783185962946738,26.481520317245,434.7198422077958,99.29232060216921,383.9961619307943,488.30203174334383
0.5142857142857142,5.783185962946738,27.145728487334097,440.6581296394757,102.82054506095152,394.04108339153345,219.1559460063448
0.5265306122448979,5.783185962946738,27.85155981517919,446.93487290210106,106.59068684668442,404.7207144005576,228.0311582946997
0.5387755102040817,5.783185962946738,28.602905808949583,453.57954738282916,110.62673411375124,416.0947438296915,237.5531832441572
0.5510204081632653,5.783185962946738,29.40414555174202,460.625121802355,114.95581039651698,428.2303717514551,247.78933866789117
0.563265306122449,5.783185962946738,30.26022296223987,468.108587372065,119.60868777417879,441.20350371673476,258.8161250092352
0.5755102040816327,5.783185962946738,31.176738988287028,476.07158545812774,124.62040181406984,455.1001764983365,270.72078925859125
0.5877551020408163,5.783185962946738,32.160062167696296,484.5611556968459,130.03099220505925,470.0182686584503,283.6032111511614
0.6,5.783185962946738,33.21746191426838,493.6306322436379,135.88639953736052,486.069563671199,297.57819025917445
