g,energy,rms_radius,pohozaev_relative,projected_gradient_relative
104.5,0.0036112421601591,2.213342973452505,0.0001781019150021,0.0001349046328399
104.6,0.0030129216710811,2.2102521506249584,0.0001793037977864,9.344543678269116e-05
104.7,0.0024125292900882,2.207190476152048,0.0001790991497908,0.0001687485692627
104.8,0.0018100690097726,2.204129721228512,0.000180315203587,0.0002339674853774
104.9,0.0012055487794752,2.201123726145223,0.0001794091377786,0.000321825195388
105.0,0.0005989634450328,2.1981085750727543,0.0001819788333415,0.0001907059361128
105.1,-9.670966190755692e-06,2.195141675207623,0.0001786350575775,0.0002720934242847
105.2,-0.0006203598600119,2.192172265200526,0.0001793104361736,0.0001699033915742
105.3,-0.0012330925835778,2.1892418829744966,0.0001787713216242,0.0001512644168171
105.4,-0.001847865178352,2.186303301512185,0.0001837834730226,0.0002793580611721
105.5,-0.0024646796285346,2.183421049712076,0.000179568509693,9.483136414042148e-05
105.6,-0.0030835240984783,2.1805248138409152,0.0001868781706992,0.0001521316742925
