N,dr,E,rms,peak,proj_rel,pohoz_rel,mu
80,0.3125,-0.1131553191382283,1.8893011597255696,0.2175945342263257,4.93849539957112e-07,0.0010131207372983,-0.9627791312075492
120,0.2083333333333333,-0.1122965043842301,1.8920212432073076,0.2192298543744383,1.3313753869288633e-06,0.0004064157017982,-0.959397229515601
160,0.15625,-0.1120185580899397,1.8929061203642972,0.2199550704842771,6.98801158407364e-07,0.0002187638583389,-0.958316131954912
200,0.125,-0.1118942968363008,1.8933023807409588,0.2203418876912837,2.9718238237213784e-06,0.0001368859031935,-0.9578358845327104
240,0.1041666666666666,-0.1118280258690627,1.8935135296624608,0.2205738695350408,1.9601704222644463e-05,9.39762845068923e-05,-0.9575809941921212
